0,1,2
0.875031,1.050241,1.031428
0.952299,1.115459,1.040197
1.118166,0.824095,1.463367
0.957234,0.995020,1.072586
1.103810,0.846815,1.287858
0.980983,0.936190,0.953147
0.897862,1.128454,1.068718
0.826582,1.014632,1.009998
0.833361,0.948820,1.225045
0.816449,1.093745,1.106643
1.072296,0.970514,0.988765
1.061626,0.964381,0.983505
1.048745,1.294844,2.617205
1.154693,0.922604,1.142744
0.927867,0.937722,0.964737
0.915338,0.911583,0.977281
0.919756,0.912913,0.990627
1.001323,1.084013,0.995732
0.913539,1.010113,0.958206
0.910782,1.007307,0.958025
0.828197,1.015384,0.940909
0.983441,1.085438,0.934207
1.029429,0.912533,1.043897
0.865906,1.055281,0.988773
1.021877,0.876065,1.015873
0.953977,0.886557,1.017242
1.081462,0.902753,1.056859
1.230651,1.011619,1.830134
1.029090,1.076363,0.929568
0.927094,0.966352,1.022998
0.856142,0.990524,1.085708
1.091174,0.948899,0.975268
1.004395,1.118142,1.005332
0.852380,1.075751,0.974456
1.088443,0.983770,1.031926
1.130768,0.958075,1.013894
1.086900,0.964546,0.945169
0.916624,1.123055,1.154518
1.077191,1.018118,1.013021
1.034608,1.055536,1.046912
0.972429,0.913379,0.997456
1.170530,0.949738,1.350688
1.009968,0.908947,1.017344
0.932155,0.938084,0.983410
1.044461,1.151226,1.043631
0.995548,1.149355,0.984981
1.031958,1.114029,1.084711
0.748226,1.020095,1.257819
0.778021,1.110193,1.294203
1.019894,0.876162,1.058606
1.883247,0.857478,1.044819
1.995587,1.122786,1.228698
1.936804,1.220136,1.222953
1.967182,0.980443,0.979141
2.003039,0.999738,1.007543
1.946058,1.223989,1.216098
2.034774,1.005385,1.041391
2.099940,0.823021,1.073168
2.062225,0.853984,1.047259
2.029667,1.036599,1.034491
2.086696,0.977584,1.092966
2.013620,0.929908,1.008575
1.968737,0.881878,1.076508
1.945398,0.818015,0.957414
1.894389,0.891697,1.060535
1.924356,1.029762,1.039046
2.187465,0.897454,1.381887
1.819624,0.921879,1.170681
2.099531,1.115738,1.011467
1.870936,1.103091,1.193001
1.965068,1.043640,0.925559
1.964900,0.975144,0.967088
2.118634,0.956334,1.075334
2.136407,1.132256,0.978778
2.123409,0.877682,1.020876
1.936982,0.876349,1.028483
1.969184,0.988454,1.008416
1.825297,0.772667,1.327041
1.835728,1.040704,1.272842
2.255422,0.883181,1.919836
1.876012,1.118192,1.254269
1.784550,0.978994,1.329358
1.957073,0.824716,0.995029
2.101125,0.982558,1.118668
2.145033,1.066365,1.019298
2.063304,0.904880,0.978051
2.048189,1.091452,1.029760
2.068682,1.211098,1.366624
2.100971,1.157796,0.982372
1.923148,0.970094,0.951888
2.090953,1.126351,0.999288
1.899093,1.103958,1.175460
2.123385,1.073327,0.979568
2.146601,1.133502,0.976401
2.053935,0.878418,0.965648
2.060459,0.896678,0.978825
1.750238,1.048850,1.148464
2.091093,0.899130,0.982523
1.948658,0.985163,1.053178
0.440021,0.557069,1.119718
0.436567,0.650444,1.008097
0.614006,0.658886,1.070839
0.496121,0.616928,0.975400
0.642489,0.644670,1.009031
0.494769,0.557356,0.994496
0.485649,0.454273,0.979253
0.564484,0.275654,1.439642
